ZIPCODE,Avg Gross Income,Lat,Long,JSON-style lat/lon/money
35643,46308,34.648768,-87.20394,"34.648768, -87.20394, 46308"
35645,311786,34.904208,-87.50776,"34.904208, -87.50776, 311786"
35646,73981,34.660322,-87.53577,"34.660322, -87.53577, 73981"
35647,18112,34.967939,-87.11732,"34.967939, -87.11732, 18112"
35648,65855,34.966009,-87.38262,"34.966009, -87.38262, 65855"
35650,227653,34.496476,-87.27802,"34.496476, -87.27802, 227653"
35651,18167,34.476048,-87.48875,"34.476048, -87.48875, 18167"
35652,152002,34.843309,-87.29937,"34.843309, -87.29937, 152002"
35653,201115,34.519453,-87.78077,"34.519453, -87.78077, 201115"
35654,115072,34.516472,-87.65265,"34.516472, -87.65265, 115072"
35660,144932,34.759738,-87.69317,"34.759738, -87.69317, 144932"
35661,383968,34.759947,-87.62705,"34.759947, -87.62705, 383968"
35670,146251,34.481885,-86.7525,"34.481885, -86.7525, 146251"
35671,43168,34.67373,-86.94986,"34.67373, -86.94986, 43168"
35672,103416,34.64248,-87.41166,"34.64248, -87.41166, 103416"
35673,153011,34.581591,-87.11884,"34.581591, -87.11884, 153011"
35674,327632,34.70017,-87.7142,"34.70017, -87.7142, 327632"
35677,28143,34.950648,-88.02603,"34.950648, -88.02603, 28143"
35739,89063,34.972309,-86.81352,"34.972309, -86.81352, 89063"
35740,53188,34.943871,-85.73077,"34.943871, -85.73077, 53188"
35741,131088,34.720813,-86.48932,"34.720813, -86.48932, 131088"
35744,34050,34.610055,-85.91553,"34.610055, -85.91553, 34050"
35745,3680,34.929269,-86.20726,"34.929269, -86.20726, 3680"
35746,12535,34.830058,-85.97048,"34.830058, -85.97048, 12535"
35747,105935,34.500216,-86.27889,"34.500216, -86.27889, 105935"
35748,167602,34.710942,-86.38995,"34.710942, -86.38995, 167602"
35749,614254,34.815817,-86.76003,"34.815817, -86.76003, 614254"
35750,257944,34.948321,-86.58988,"34.948321, -86.58988, 257944"
35752,35030,34.745259,-85.94729,"34.745259, -85.94729, 35030"
35754,108018,34.520438,-86.61977,"34.520438, -86.61977, 108018"
35755,10057,34.501178,-86.11516,"34.501178, -86.11516, 10057"
35756,334088,34.630103,-86.80159,"34.630103, -86.80159, 334088"
35757,431000,34.776638,-86.75164,"34.776638, -86.75164, 431000"
35758,1583495,34.715065,-86.73964,"34.715065, -86.73964, 1583495"
35759,207003,34.863236,-86.56137,"34.863236, -86.56137, 207003"
35760,92639,34.541285,-86.39852,"34.541285, -86.39852, 92639"
35761,261522,34.902137,-86.44272,"34.902137, -86.44272, 261522"
35763,650074,34.624533,-86.47069,"34.624533, -86.47069, 650074"
35764,8708,34.694662,-86.31816,"34.694662, -86.31816, 8708"
35765,50552,34.695645,-85.80484,"34.695645, -85.80484, 50552"
35768,190551,34.712327,-86.08387,"34.712327, -86.08387, 190551"
35769,230641,34.606124,-86.06464,"34.606124, -86.06464, 230641"
35771,50911,34.546397,-85.98279,"34.546397, -85.98279, 50911"
35772,72277,34.877531,-85.84528,"34.877531, -85.84528, 72277"
35773,254067,34.90267,-86.71367,"34.90267, -86.71367, 254067"
35775,11142,34.550375,-86.70576,"34.550375, -86.70576, 11142"
35776,55706,34.664895,-86.23363,"34.664895, -86.23363, 55706"
35801,1005500,34.72879,-86.57316,"34.72879, -86.57316, 1005500"
35802,846941,34.666041,-86.55929,"34.666041, -86.55929, 846941"
35803,866212,34.603017,-86.54293,"34.603017, -86.54293, 866212"
35805,246803,34.711291,-86.61691,"34.711291, -86.61691, 246803"
35806,618863,34.748066,-86.68317,"34.748066, -86.68317, 618863"
35808,30436,34.623075,-86.6647,"34.623075, -86.6647, 30436"
35810,554111,34.77624,-86.61339,"34.77624, -86.61339, 554111"
35811,647688,34.78108,-86.53163,"34.78108, -86.53163, 647688"
35816,160808,34.73969,-86.62464,"34.73969, -86.62464, 160808"
35824,210491,34.654126,-86.73987,"34.654126, -86.73987, 210491"
35901,382523,34.016747,-85.99282,"34.016747, -85.99282, 382523"
35903,258574,33.996698,-85.92496,"33.996698, -85.92496, 258574"
35904,187006,34.032097,-86.0353,"34.032097, -86.0353, 187006"
35905,120648,33.942031,-85.93993,"33.942031, -85.93993, 120648"
35906,215489,33.943964,-86.06154,"33.943964, -86.06154, 215489"
35907,212416,33.906415,-86.02665,"33.906415, -86.02665, 212416"
35950,330821,34.261878,-86.22835,"34.261878, -86.22835, 330821"
35951,169513,34.313014,-86.19282,"34.313014, -86.19282, 169513"
35952,98068,34.057496,-86.32225,"34.057496, -86.32225, 98068"
35953,120671,33.825516,-86.24231,"33.825516, -86.24231, 120671"
35954,165677,34.043263,-86.08904,"34.043263, -86.08904, 165677"
35956,127537,34.155318,-86.13237,"34.155318, -86.13237, 127537"
35957,236422,34.203621,-86.1728,"34.203621, -86.1728, 236422"
35958,44179,34.921827,-85.63784,"34.921827, -85.63784, 44179"
35959,66039,34.237989,-85.61277,"34.237989, -85.61277, 66039"
35960,152579,34.141067,-85.60472,"34.141067, -85.60472, 152579"
35961,72472,34.279268,-85.85634,"34.279268, -85.85634, 72472"
35962,86621,34.297717,-86.036,"34.297717, -86.036, 86621"
35963,19840,34.359766,-85.92825,"34.359766, -85.92825, 19840"
35966,50069,34.788306,-85.67642,"34.788306, -85.67642, 50069"
35967,233875,34.429472,-85.71078,"34.429472, -85.71078, 233875"
35968,93454,34.460537,-85.76744,"34.460537, -85.76744, 93454"
35971,64022,34.457657,-85.92772,"34.457657, -85.92772, 64022"
35972,20039,33.987653,-86.25523,"33.987653, -86.25523, 20039"
35973,36847,34.333048,-85.55172,"34.333048, -85.55172, 36847"
35974,26166,34.361787,-86.0098,"34.361787, -86.0098, 26166"
35975,13715,34.431683,-86.06169,"34.431683, -86.06169, 13715"
35976,344423,34.350835,-86.30475,"34.350835, -86.30475, 344423"
35978,74517,34.637589,-85.73274,"34.637589, -85.73274, 74517"
35979,18517,34.831242,-85.61564,"34.831242, -85.61564, 18517"
35980,60987,34.179277,-86.36882,"34.179277, -86.36882, 60987"
35981,28339,34.717362,-85.65353,"34.717362, -85.65353, 28339"
