avgIncome,LatM,LongM,LATB,LONGB,BankCount
27044,31.021335,-87.64417,34.47,-85.34,7
210936,30.5822,-87.63936,45.38,-89.19,17
16613,31.529488,-88.06349,40.86,-76.78,34
326372,30.831636,-88.09386,40.57,-120.61,5
160038,30.857435,-88.05414,32.46,-100.4,3
22295,30.511685,-87.4686,35.91,-94.97,11
361668,30.76635,-88.26553,33.43,-86.09,16
76368,30.540664,-87.7549,36.38,-105.57,11
37177,30.744745,-87.81486,39.52,-89.26,19
32119,31.126122,-87.80317,45.54,-121.15,8
87284,30.485351,-87.71292,32.89,-84.32,9
426154,30.533744,-88.16865,30.83,-83.97,12
12395,31.35209,-88.20879,41.11,-83.17,20
11898,31.202048,-88.38071,31.46,-83.51,16
19112,31.38122,-88.02433,34.57,-83.32,5
170171,30.828988,-88.35079,41.77,-73.06,43
28850,30.693389,-88.04416,44.75,-85.6,46
65716,30.688457,-88.05341,31.8,-85.96,12
194203,30.68164,-88.06676,39.3,-120.31,29
377600,30.641191,-88.08222,35.37,-86.2,30
314718,30.674057,-88.10249,34.26,-88.73,62
132983,30.699539,-88.10474,42.56,-114.46,31
1017266,30.69044,-88.19701,39.12,-123.28,22
453471,30.662735,-88.16255,36.42,-89.05,22
112025,30.737405,-88.08201,40.1,-83.75,14
75936,30.764938,-88.08505,29.21,-99.78,6
44573,30.753155,-88.11116,32.8,-85.17,8
173898,30.795637,-88.1577,40.86,-84.58,8
142013,30.717539,-88.09609,42.78,-96.92,6
282726,30.728488,-88.16845,40.45,-109.53,4
327749,30.586808,-88.18552,34.14,-99.3,2
467603,30.630441,-88.15397,32.32,-90.87,20
1251341,30.646415,-88.23657,32.21,-82.4,13
354238,32.429066,-87.03809,38.67,-87.51,19
142813,32.419846,-86.97783,41.45,-70.6,9
7144,32.170653,-87.36217,40.79,-85.82,10
5091,32.079894,-87.57551,46.26,-96.6,15
68318,32.008444,-87.25911,40.57,-84.19,17
8319,32.147166,-87.45675,41.84,-79.18,8
152707,32.495484,-87.84521,38.75,-93.72,20
16352,32.069338,-87.77893,41.23,-85.85,39
12905,32.41786,-87.62729,38.65,-87.17,11
14183,32.629096,-87.84004,35.55,-77.05,21
41344,32.454007,-87.75003,39.53,-83.43,10
88403,32.703529,-87.60177,44.91,-97.16,13
54428,32.297441,-87.78812,43.19,-88.72,30
13622,32.54896,-86.87897,27.54,-81.8,5
46104,32.789726,-86.8496,31.21,-82.35,12
8631,31.833493,-87.55005,35.53,-98.68,14
37006,32.322266,-86.64395,36.74,-91.86,17
3843,32.140637,-87.6801,42.83,-88.73,39
69708,32.665966,-87.33889,48.16,-103.63,9
21044,32.639376,-86.91034,45.12,-95.04,20
21340,32.420138,-87.27857,39.44,-83.83,14
14316,32.080532,-86.95524,35.73,-77.92,32
13328,32.594818,-87.53543,40.96,-117.72,5
19687,32.29165,-87.23168,44.04,-91.65,16
9062,31.901412,-86.95505,44.39,-89.83,27
33388,31.990494,-87.55222,36.42,-99.4,10
5864,32.291429,-87.39972,40.81,-81.93,42
11592,32.213369,-86.98313,43.62,-95.59,13
16779,32.739091,-87.7417,42.87,-97.39,10
35487,32.114999,-87.90187,39.95,-82.01,35
13257,32.263473,-87.60214,26.89,-99.26,2
140469,31.936003,-87.77013,,,
18357,32.282192,-86.8216,,,
34071,32.440868,-87.49657,,,
4652,32.731866,-86.90004,,,
19049,32.917983,-86.89046,,,
7851,32.838805,-86.99911,,,
400529,32.660497,-85.39917,,,
289443,32.556296,-85.33465,,,
897324,32.577135,-85.47282,,,
241264,32.589553,-85.53991,,,
33140,32.799998,-85.64621,,,
32107,32.745844,-85.28076,,,
157764,32.787441,-85.79955,,,
231454,32.777662,-85.17623,,,
20275,33.046756,-85.30102,,,
80739,32.282085,-84.98389,,,
7567,32.297792,-85.31205,,,
19007,32.237339,-85.41029,,,
63114,32.862333,-85.84588,,,
81714,32.903922,-85.42905,,,
174311,32.871306,-85.21314,,,
61256,32.551474,-85.69859,,,
347814,32.492304,-85.01943,,,
265944,32.433065,-85.04512,,,
288831,32.484671,-85.0752,,,
16028,32.16827,-85.11621,,,
148771,32.587751,-85.18539,,,
